"mcs150_date","add_date","status_code","dot_number","dun_bradstreet_no","phy_omc_region","safety_inv_terr","carrier_operation","business_org_id","mcs150_mileage","mcs150_mileage_year","mcs151_mileage","total_cars","mcs150_update_code_id","prior_revoke_flag","prior_revoke_dot_number","phone","fax","cell_phone","company_officer_1","company_officer_2","business_org_desc","truck_units","power_units","bus_units","fleetsize","review_id","recordable_crash_rate","mail_nationality_indicator","phy_nationality_indicator","phy_barrio","mail_barrio","carship","docket1prefix","docket1","docket2prefix","docket2","docket3prefix","docket3","pointnum","total_intrastate_drivers","mcsipstep","mcsipdate","hm_ind","interstate_beyond_100_miles","interstate_within_100_miles","intrastate_beyond_100_miles","intrastate_within_100_miles","total_cdl","total_drivers","avg_drivers_leased_per_month","classdef","legal_name","dba_name","phy_street","phy_city","phy_country","phy_state","phy_zip","phy_cnty","carrier_mailing_street","carrier_mailing_state","carrier_mailing_city","carrier_mailing_country","carrier_mailing_zip","carrier_mailing_cnty","carrier_mailing_und_date","driver_inter_total","email_address","review_type","review_date","safety_rating","safety_rating_date","undeliv_phy","crgo_genfreight","crgo_household","crgo_metalsheet","crgo_motoveh","crgo_drivetow","crgo_logpole","crgo_bldgmat","crgo_mobilehome","crgo_machlrg","crgo_produce","crgo_liqgas","crgo_intermodal","crgo_passengers","crgo_oilfield","crgo_livestock","crgo_grainfeed","crgo_coalcoke","crgo_meat","crgo_garbage","crgo_usmail","crgo_chem","crgo_drybulk","crgo_coldfood","crgo_beverages","crgo_paperprod","crgo_utility","crgo_farmsupp","crgo_construct","crgo_waterwell","crgo_cargoothr","crgo_cargoothr_desc","owntruck","owntract","owntrail","owncoach","ownschool_1_8","ownschool_9_15","ownschool_16","ownbus_16","ownvan_1_8","ownvan_9_15","ownlimo_1_8","ownlimo_9_15","ownlimo_16","trmtruck","trmtract","trmtrail","trmcoach","trmschool_1_8","trmschool_9_15","trmschool_16","trmbus_16","trmvan_1_8","trmvan_9_15","trmlimo_1_8","trmlimo_9_15","trmlimo_16","trptruck","trptract","trptrail","trpcoach","trpschool_1_8","trpschool_9_15","trpschool_16","trpbus_16","trpvan_1_8","trpvan_9_15","trplimo_1_8","trplimo_9_15","trplimo_16","docket1_status_code","docket2_status_code","docket3_status_code"
"20010910 0000","19870706","I","296839","155442791","01","V","A","3","0",,"0",,"2",,,,,,,,"CORPORATION","0","0","0","0",,,,,,,"C",,,,,,,,"0","99","20160503","N",,,,,,,,"PRIVATE PROPERTY","BALDWIN SANITATION INC",,"PO BOX  E","BRANCHVILLE","US","NJ","07826","037","PO BOX E","NJ","BRANCHVILLE","US","07826","037","20031015",,,,,,,"U",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"19870706","I","296840",,"01","U","A","3","0",,"0",,"3",,,,,,,,"CORPORATION","0","0","0","0",,,,,,,"C",,,,,,,,"0","99","20160111","N",,,,,,,,"PRIVATE PROPERTY","LOIS E HOSTEHER",,"821 BROCK RD","LAKEWOOD","US","NJ","08701","029","821 BROCK RD","NJ","LAKEWOOD","US","08701","029","20061019",,,,,,,"U",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"19870706","I","296841",,"01","P","A","3","0",,"0",,"3",,,,,,,,"CORPORATION","0","0","0","0",,,,,,,"C",,,,,,,,"0",,,"N",,,,,,,,"PRIVATE PROPERTY","NATIONWIDE SCP TIRE REML INC",,"77 BRIGHTSIDE AVE","CENTRAL ISLIP","US","NY","11722","103","77 BRIGHTSIDE AVE","NY","CENTRAL ISLIP","US","11722","103",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"19870706","I","296842",,"01","I","A","3","0",,"0",,"3",,,"4164593560",,,,,"CORPORATION","103","103","0","Q",,,,,,,"C",,,,,,,,"0",,,"N","110","0","0","0","0","110","0","OTHER-UNSPECIFIED","DICKWAL 81 LTD",,"81 ORENDA RD","BRAMPTON","CA","ON","L6W 1V7","000","81 ORENDA RD","ON","BRAMPTON","CA","L6W 1V7","000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"16","22","240",,,,,,,,,,,,"65",,,,,,,,,,,,,,,,,,,,,,,,,,,
"20020410 0000","19870706","I","296843",,"01","I","A","2","0",,"0",,"2",,,"7167697662",,,,,"PARTNERSHIP","0","0","0","0",,,,,,,"C",,,,,,,,"0",,,"N",,,,,,,,"PRIVATE PROPERTY","LUDWIG C & ROBIN L GANZE",,"RD1-BOX 16","FINDLEY LAKE","US","NY","14736","013","PO BOX 297","PA","COLUMBUS","US","16405-0297","123","20040624",,,,,,,"U",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"UNSPECIFIED",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"20060414 0000","19870706","I","296844",,"01","E","A","3","0",,"0",,"3",,,"8193768631",,,,,"CORPORATION","2","2","0","B",,,,,,,"C",,,,,,,,"0",,,"N",,"1",,,,"1",,"OTHER-UNSPECIFIED","YVON CARRIER",,"111 5E RUE  LAC DOUCET","VALMONT","CA","QC","G0X 3J0","000","111 5E RUE  LAC DOUCET","QC","VALMONT","CA","G0X 3J0","000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"20060529 0000","19870706","I","296845",,"01","I","A","3","0",,"0",,"3",,,"4168440581",,,,,"CORPORATION","4","4","0","C",,,,,,,"C",,,,,,,,"0",,,"N",,"1",,,,"1",,"PRIVATE PROPERTY","PEEL CO MANUFACTURING LTD",,"2481 ROYAL WINDSOR DR","OAKVILLE","CA","ON","L6J 4Z2","000","2481 ROYAL WINDSOR DR","ON","OAKVILLE","CA","L6J 4Z2","000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"UNSPECIFIED",,"4","4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"19870706","I","296846",,"01","V","A","3","0",,"0",,"3",,,,,,,,"CORPORATION","0","0","0","0",,,,,,,"C",,,,,,,,"0",,,"N",,,,,,,,"PRIVATE PROPERTY","MELVINA BUISESS",,"PO BOX 946","HACKESTTOWN","US","NJ","07840","041","PO BOX 946","NJ","HACKESTTOWN","US","07840","041",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"19870706","I","296847","834957862","01","W","A","3","0",,"0",,"3",,,"6097537774",,,,,"CORPORATION","21","27","0","J",,,,,,,"C",,,,,,,,"0",,,"N",,,,,,,,"PRIVATE PROPERTY","PRO TRUCK LEASING",,"RT 73 - BEECH AVE","BERLIN","US","NJ","08009","007","P O BOX 363","NJ","BERLIN","US","08009-0363","007",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"19870706","I","296848",,"01","H","A","3","0",,"10000",,"3",,,"3159864438",,,,,"CORPORATION","1","1","0","A",,,,,,,"C",,,,,,,,"0",,,"N","4","0","0","0","0","4","0","PRIVATE PROPERTY","LEGENDARY AUTO INTERIORS LTD",,"87 1 2 MAIN ST","MACEDON","US","NY","14502","117","P O  BOX 446","NY","NEWARK","US","14513-0446","117",,,,"S","19880824",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"UNSPECIFIED","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
